16/02/2023 22:00:16
Música selecionada: Normal
Número de inputs: 22
Pontuação alcançada: 520
Duração da partida: 35s
22:00:17.2066916BPM: __Connected__
22:00:17.2166649BPM: !
22:00:17.4121517BPM: !
22:00:17.6614846BPM: !
22:00:17.9127761BPM: !
22:00:18.1651015BPM: !
22:00:18.4154319BPM: !
22:00:18.6647653BPM: !
22:00:18.9170910BPM: !
22:00:19.1654271BPM: !
22:00:19.4127645BPM: !
22:00:19.6630953BPM: !
22:00:19.9184129BPM: !
22:00:20.1637565BPM: !
22:00:20.4120923BPM: !
22:00:20.6619379BPM: !
22:00:20.9127814BPM: !
22:00:21.1706065BPM: !
22:00:21.4139866BPM: !
22:00:21.6658281BPM: !
22:00:21.9126853BPM: !
22:00:22.1630442BPM: !
22:00:22.4138874BPM: !
22:00:22.6632216BPM: !
22:00:22.9135510BPM: !
22:00:23.1631392BPM: !
22:00:23.4144665BPM: !
22:00:23.6633136BPM: !
22:00:23.9136450BPM: !
22:00:24.1639746BPM: !
22:00:24.4138227BPM: !
22:00:24.6618305BPM: !
22:00:24.9131636BPM: !
22:00:25.1615281BPM: !
22:00:25.4138536BPM: !
22:00:25.6631867BPM: !
22:00:25.9135166BPM: !
22:00:26.1646631BPM: !
22:00:26.4117102BPM: !
22:00:26.6621618BPM: !
22:00:26.9144865BPM: !
22:00:27.1618249BPM: !
22:00:27.4121571BPM: !
22:00:27.6644810BPM: !
22:00:27.9138473BPM: !
22:00:28.1641659BPM: !
22:00:28.4115042BPM: !
22:00:28.6638299BPM: !
22:00:28.9141598BPM: !
22:00:29.1789636BPM: !
22:00:29.4133361BPM: !
22:00:29.6626701BPM: !
22:00:29.9130000BPM: !
22:00:30.1618530BPM: !
22:00:30.4125947BPM: !
22:00:30.6649203BPM: !
22:00:30.9112614BPM: !
22:00:31.1625896BPM: !
22:00:31.4117152BPM: !
22:00:31.6615233BPM: !
22:00:31.9143623BPM: !
22:00:32.1626993BPM: !
22:00:32.4140270BPM: !
22:00:32.6625407BPM: !
22:00:32.9128721BPM: !
22:00:33.1636315BPM: !
22:00:33.4129647BPM: !
22:00:33.6613016BPM: !
22:00:33.9136257BPM: !
22:00:34.1619790BPM: !
22:00:34.4136521BPM: !
22:00:34.6625613BPM: !
22:00:34.9127859BPM: !
